Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_016920845.1	Primary Assembly	Un			JACDQR010001380.1	Chromosome		NW_024397544.1	unplaced-scaffold	12579			Contig1507
GCF_016920845.1	Primary Assembly	Un			JACDQR010001381.1	Chromosome		NW_024397545.1	unplaced-scaffold	2254			Contig1509
GCF_016920845.1	Primary Assembly	Un			JACDQR010001382.1	Chromosome		NW_024397547.1	unplaced-scaffold	1001			Contig1510
GCF_016920845.1	Primary Assembly	Un			JACDQR010001383.1	Chromosome		NW_024397548.1	unplaced-scaffold	10568			Contig1511
GCF_016920845.1	Primary Assembly	Un			JACDQR010001384.1	Chromosome		NW_024397549.1	unplaced-scaffold	14013			Contig1512
GCF_016920845.1	Primary Assembly	Un			JACDQR010001385.1	Chromosome		NW_024397550.1	unplaced-scaffold	12037			Contig1513
GCF_016920845.1	Primary Assembly	Un			JACDQR010001386.1	Chromosome		NW_024397551.1	unplaced-scaffold	1780			Contig1514
GCF_016920845.1	Primary Assembly	Un			JACDQR010001387.1	Chromosome		NW_024397552.1	unplaced-scaffold	13947			Contig1515
GCF_016920845.1	Primary Assembly	Un			JACDQR010001388.1	Chromosome		NW_024397553.1	unplaced-scaffold	2013			Contig1516
GCF_016920845.1	Primary Assembly	Un			JACDQR010001389.1	Chromosome		NW_024397554.1	unplaced-scaffold	11004			Contig1517
GCF_016920845.1	Primary Assembly	Un			JACDQR010001390.1	Chromosome		NW_024397555.1	unplaced-scaffold	13916			Contig1518
GCF_016920845.1	Primary Assembly	Un			JACDQR010001391.1	Chromosome		NW_024397556.1	unplaced-scaffold	13888			Contig1519
GCF_016920845.1	Primary Assembly	Un			JACDQR010001392.1	Chromosome		NW_024397558.1	unplaced-scaffold	12393			Contig1520
GCF_016920845.1	Primary Assembly	Un			JACDQR010001393.1	Chromosome		NW_024397559.1	unplaced-scaffold	1101			Contig1521
GCF_016920845.1	Primary Assembly	Un			JACDQR010001394.1	Chromosome		NW_024397560.1	unplaced-scaffold	10407			Contig1522
GCF_016920845.1	Primary Assembly	Un			JACDQR010001395.1	Chromosome		NW_024397561.1	unplaced-scaffold	2948			Contig1523
GCF_016920845.1	Primary Assembly	Un			JACDQR010001396.1	Chromosome		NW_024397562.1	unplaced-scaffold	13703			Contig1524
GCF_016920845.1	Primary Assembly	Un			JACDQR010001397.1	Chromosome		NW_024397563.1	unplaced-scaffold	13700			Contig1525
GCF_016920845.1	Primary Assembly	Un			JACDQR010001398.1	Chromosome		NW_024397564.1	unplaced-scaffold	13690			Contig1526
GCF_016920845.1	Primary Assembly	Un			JACDQR010001399.1	Chromosome		NW_024397565.1	unplaced-scaffold	1917			Contig1527
GCF_016920845.1	Primary Assembly	Un			JACDQR010001400.1	Chromosome		NW_024397566.1	unplaced-scaffold	11461			Contig1528
GCF_016920845.1	Primary Assembly	Un			JACDQR010001401.1	Chromosome		NW_024397567.1	unplaced-scaffold	13679			Contig1529
GCF_016920845.1	Primary Assembly	Un			JACDQR010001402.1	Chromosome		NW_024397568.1	unplaced-scaffold	13586			Contig1530
GCF_016920845.1	Primary Assembly	Un			JACDQR010001403.1	Chromosome		NW_024397569.1	unplaced-scaffold	1415			Contig1531
GCF_016920845.1	Primary Assembly	Un			JACDQR010001404.1	Chromosome		NW_024397570.1	unplaced-scaffold	3724			Contig1532
GCF_016920845.1	Primary Assembly	Un			JACDQR010001405.1	Chromosome		NW_024397571.1	unplaced-scaffold	7006			Contig1533
GCF_016920845.1	Primary Assembly	Un			JACDQR010001406.1	Chromosome		NW_024397572.1	unplaced-scaffold	13583			Contig1534
GCF_016920845.1	Primary Assembly	Un			JACDQR010001407.1	Chromosome		NW_024397573.1	unplaced-scaffold	2338			Contig1535
GCF_016920845.1	Primary Assembly	Un			JACDQR010001408.1	Chromosome		NW_024397574.1	unplaced-scaffold	7834			Contig1539
GCF_016920845.1	Primary Assembly	Un			JACDQR010001409.1	Chromosome		NW_024397576.1	unplaced-scaffold	5522			Contig1540
GCF_016920845.1	Primary Assembly	Un			JACDQR010001410.1	Chromosome		NW_024397577.1	unplaced-scaffold	13416			Contig1541
GCF_016920845.1	Primary Assembly	Un			JACDQR010001411.1	Chromosome		NW_024397578.1	unplaced-scaffold	13404			Contig1542
GCF_016920845.1	Primary Assembly	Un			JACDQR010001412.1	Chromosome		NW_024397579.1	unplaced-scaffold	1244			Contig1543
GCF_016920845.1	Primary Assembly	Un			JACDQR010001413.1	Chromosome		NW_024397580.1	unplaced-scaffold	8716			Contig1544
GCF_016920845.1	Primary Assembly	Un			JACDQR010001414.1	Chromosome		NW_024397581.1	unplaced-scaffold	1906			Contig1545
GCF_016920845.1	Primary Assembly	Un			JACDQR010001415.1	Chromosome		NW_024397582.1	unplaced-scaffold	13398			Contig1546
GCF_016920845.1	Primary Assembly	Un			JACDQR010001416.1	Chromosome		NW_024397583.1	unplaced-scaffold	13391			Contig1547
GCF_016920845.1	Primary Assembly	Un			JACDQR010001417.1	Chromosome		NW_024397584.1	unplaced-scaffold	1862			Contig1548
GCF_016920845.1	Primary Assembly	Un			JACDQR010001418.1	Chromosome		NW_024397585.1	unplaced-scaffold	4454			Contig1549
GCF_016920845.1	Primary Assembly	Un			JACDQR010001419.1	Chromosome		NW_024397587.1	unplaced-scaffold	2372			Contig1550
GCF_016920845.1	Primary Assembly	Un			JACDQR010001420.1	Chromosome		NW_024397588.1	unplaced-scaffold	1200			Contig1551
GCF_016920845.1	Primary Assembly	Un			JACDQR010001421.1	Chromosome		NW_024397589.1	unplaced-scaffold	1940			Contig1552
GCF_016920845.1	Primary Assembly	Un			JACDQR010001422.1	Chromosome		NW_024397590.1	unplaced-scaffold	8007			Contig1554
GCF_016920845.1	Primary Assembly	Un			JACDQR010001423.1	Chromosome		NW_024397591.1	unplaced-scaffold	13368			Contig1555
GCF_016920845.1	Primary Assembly	Un			JACDQR010001424.1	Chromosome		NW_024397592.1	unplaced-scaffold	13361			Contig1556
GCF_016920845.1	Primary Assembly	Un			JACDQR010001425.1	Chromosome		NW_024397593.1	unplaced-scaffold	1722			Contig1557
GCF_016920845.1	Primary Assembly	Un			JACDQR010001426.1	Chromosome		NW_024397594.1	unplaced-scaffold	3645			Contig1558
GCF_016920845.1	Primary Assembly	Un			JACDQR010001427.1	Chromosome		NW_024397595.1	unplaced-scaffold	4215			Contig1559
GCF_016920845.1	Primary Assembly	Un			JACDQR010001428.1	Chromosome		NW_024397597.1	unplaced-scaffold	2733			Contig1560
GCF_016920845.1	Primary Assembly	Un			JACDQR010001429.1	Chromosome		NW_024397598.1	unplaced-scaffold	13339			Contig1561
GCF_016920845.1	Primary Assembly	Un			JACDQR010001430.1	Chromosome		NW_024397599.1	unplaced-scaffold	9812			Contig1562
GCF_016920845.1	Primary Assembly	Un			JACDQR010001431.1	Chromosome		NW_024397600.1	unplaced-scaffold	3420			Contig1563
GCF_016920845.1	Primary Assembly	Un			JACDQR010001432.1	Chromosome		NW_024397601.1	unplaced-scaffold	13326			Contig1564
GCF_016920845.1	Primary Assembly	Un			JACDQR010001433.1	Chromosome		NW_024397602.1	unplaced-scaffold	13301			Contig1565
GCF_016920845.1	Primary Assembly	Un			JACDQR010001434.1	Chromosome		NW_024397603.1	unplaced-scaffold	6417			Contig1566
GCF_016920845.1	Primary Assembly	Un			JACDQR010001435.1	Chromosome		NW_024397604.1	unplaced-scaffold	13249			Contig1567
GCF_016920845.1	Primary Assembly	Un			JACDQR010001436.1	Chromosome		NW_024397605.1	unplaced-scaffold	1247			Contig1568
GCF_016920845.1	Primary Assembly	Un			JACDQR010001437.1	Chromosome		NW_024397606.1	unplaced-scaffold	11518			Contig1569
GCF_016920845.1	Primary Assembly	Un			JACDQR010001438.1	Chromosome		NW_024397608.1	unplaced-scaffold	13213			Contig1570
GCF_016920845.1	Primary Assembly	Un			JACDQR010001439.1	Chromosome		NW_024397609.1	unplaced-scaffold	13208			Contig1571
GCF_016920845.1	Primary Assembly	Un			JACDQR010001440.1	Chromosome		NW_024397610.1	unplaced-scaffold	13196			Contig1572
GCF_016920845.1	Primary Assembly	Un			JACDQR010001441.1	Chromosome		NW_024397611.1	unplaced-scaffold	10759			Contig1573
GCF_016920845.1	Primary Assembly	Un			JACDQR010001442.1	Chromosome		NW_024397612.1	unplaced-scaffold	2293			Contig1574
GCF_016920845.1	Primary Assembly	Un			JACDQR010001443.1	Chromosome		NW_024397613.1	unplaced-scaffold	6638			Contig1575
GCF_016920845.1	Primary Assembly	Un			JACDQR010001444.1	Chromosome		NW_024397614.1	unplaced-scaffold	6337			Contig1576
GCF_016920845.1	Primary Assembly	Un			JACDQR010001445.1	Chromosome		NW_024397615.1	unplaced-scaffold	1489			Contig1577
GCF_016920845.1	Primary Assembly	Un			JACDQR010001446.1	Chromosome		NW_024397616.1	unplaced-scaffold	1138			Contig1578
GCF_016920845.1	Primary Assembly	Un			JACDQR010001447.1	Chromosome		NW_024397617.1	unplaced-scaffold	738			Contig1579
GCF_016920845.1	Primary Assembly	Un			JACDQR010001448.1	Chromosome		NW_024397619.1	unplaced-scaffold	13069			Contig1580
GCF_016920845.1	Primary Assembly	Un			JACDQR010001449.1	Chromosome		NW_024397620.1	unplaced-scaffold	13039			Contig1581
GCF_016920845.1	Primary Assembly	Un			JACDQR010001450.1	Chromosome		NW_024397621.1	unplaced-scaffold	2249			Contig1583
GCF_016920845.1	Primary Assembly	Un			JACDQR010001451.1	Chromosome		NW_024397622.1	unplaced-scaffold	9739			Contig1584
GCF_016920845.1	Primary Assembly	Un			JACDQR010001452.1	Chromosome		NW_024397623.1	unplaced-scaffold	12982			Contig1585
GCF_016920845.1	Primary Assembly	Un			JACDQR010001453.1	Chromosome		NW_024397624.1	unplaced-scaffold	12961			Contig1586
GCF_016920845.1	Primary Assembly	Un			JACDQR010001454.1	Chromosome		NW_024397625.1	unplaced-scaffold	12939			Contig1587
GCF_016920845.1	Primary Assembly	Un			JACDQR010001455.1	Chromosome		NW_024397626.1	unplaced-scaffold	10145			Contig1588
GCF_016920845.1	Primary Assembly	Un			JACDQR010001456.1	Chromosome		NW_024397627.1	unplaced-scaffold	2462			Contig1589
GCF_016920845.1	Primary Assembly	Un			JACDQR010001457.1	Chromosome		NW_024397629.1	unplaced-scaffold	12897			Contig1590
GCF_016920845.1	Primary Assembly	Un			JACDQR010001458.1	Chromosome		NW_024397630.1	unplaced-scaffold	12890			Contig1591
GCF_016920845.1	Primary Assembly	Un			JACDQR010001459.1	Chromosome		NW_024397631.1	unplaced-scaffold	12859			Contig1592
GCF_016920845.1	Primary Assembly	Un			JACDQR010001460.1	Chromosome		NW_024397632.1	unplaced-scaffold	12797			Contig1593
GCF_016920845.1	Primary Assembly	Un			JACDQR010001461.1	Chromosome		NW_024397633.1	unplaced-scaffold	1322			Contig1594
GCF_016920845.1	Primary Assembly	Un			JACDQR010001462.1	Chromosome		NW_024397634.1	unplaced-scaffold	2709			Contig1595
GCF_016920845.1	Primary Assembly	Un			JACDQR010001463.1	Chromosome		NW_024397635.1	unplaced-scaffold	3160			Contig1596
GCF_016920845.1	Primary Assembly	Un			JACDQR010001464.1	Chromosome		NW_024397636.1	unplaced-scaffold	12774			Contig1598
GCF_016920845.1	Primary Assembly	Un			JACDQR010001465.1	Chromosome		NW_024397637.1	unplaced-scaffold	7686			Contig1599
GCF_016920845.1	Primary Assembly	Un			JACDQR010001466.1	Chromosome		NW_024397639.1	unplaced-scaffold	4982			Contig1600
GCF_016920845.1	Primary Assembly	Un			JACDQR010001467.1	Chromosome		NW_024397640.1	unplaced-scaffold	12724			Contig1601
GCF_016920845.1	Primary Assembly	Un			JACDQR010001468.1	Chromosome		NW_024397641.1	unplaced-scaffold	12682			Contig1602
GCF_016920845.1	Primary Assembly	Un			JACDQR010001469.1	Chromosome		NW_024397642.1	unplaced-scaffold	12681			Contig1603
GCF_016920845.1	Primary Assembly	Un			JACDQR010001470.1	Chromosome		NW_024397643.1	unplaced-scaffold	12678			Contig1604
GCF_016920845.1	Primary Assembly	Un			JACDQR010001471.1	Chromosome		NW_024397644.1	unplaced-scaffold	12659			Contig1605
GCF_016920845.1	Primary Assembly	Un			JACDQR010001472.1	Chromosome		NW_024397645.1	unplaced-scaffold	6785			Contig1606
GCF_016920845.1	Primary Assembly	Un			JACDQR010001473.1	Chromosome		NW_024397646.1	unplaced-scaffold	3320			Contig1609
GCF_016920845.1	Primary Assembly	Un			JACDQR010001474.1	Chromosome		NW_024397648.1	unplaced-scaffold	12618			Contig1610
GCF_016920845.1	Primary Assembly	Un			JACDQR010001475.1	Chromosome		NW_024397649.1	unplaced-scaffold	12579			Contig1611
GCF_016920845.1	Primary Assembly	Un			JACDQR010001476.1	Chromosome		NW_024397650.1	unplaced-scaffold	8715			Contig1612
GCF_016920845.1	Primary Assembly	Un			JACDQR010001477.1	Chromosome		NW_024397651.1	unplaced-scaffold	1167			Contig1613
GCF_016920845.1	Primary Assembly	Un			JACDQR010001478.1	Chromosome		NW_024397652.1	unplaced-scaffold	10595			Contig1615
GCF_016920845.1	Primary Assembly	Un			JACDQR010001479.1	Chromosome		NW_024397653.1	unplaced-scaffold	12532			Contig1616
GCF_016920845.1	Primary Assembly	Un			JACDQR010001480.1	Chromosome		NW_024397654.1	unplaced-scaffold	1833			Contig1617
GCF_016920845.1	Primary Assembly	Un			JACDQR010001481.1	Chromosome		NW_024397655.1	unplaced-scaffold	6350			Contig1618
GCF_016920845.1	Primary Assembly	Un			JACDQR010001482.1	Chromosome		NW_024397656.1	unplaced-scaffold	3341			Contig1619
GCF_016920845.1	Primary Assembly	Un			JACDQR010001483.1	Chromosome		NW_024397658.1	unplaced-scaffold	8690			Contig1620
GCF_016920845.1	Primary Assembly	Un			JACDQR010001484.1	Chromosome		NW_024397659.1	unplaced-scaffold	3541			Contig1621
GCF_016920845.1	Primary Assembly	Un			JACDQR010001485.1	Chromosome		NW_024397660.1	unplaced-scaffold	9543			Contig1622
GCF_016920845.1	Primary Assembly	Un			JACDQR010001486.1	Chromosome		NW_024397661.1	unplaced-scaffold	12411			Contig1624
GCF_016920845.1	Primary Assembly	Un			JACDQR010001487.1	Chromosome		NW_024397662.1	unplaced-scaffold	1213			Contig1625
GCF_016920845.1	Primary Assembly	Un			JACDQR010001488.1	Chromosome		NW_024397663.1	unplaced-scaffold	10916			Contig1626
GCF_016920845.1	Primary Assembly	Un			JACDQR010001489.1	Chromosome		NW_024397664.1	unplaced-scaffold	12402			Contig1627
GCF_016920845.1	Primary Assembly	Un			JACDQR010001490.1	Chromosome		NW_024397665.1	unplaced-scaffold	12389			Contig1628
GCF_016920845.1	Primary Assembly	Un			JACDQR010001491.1	Chromosome		NW_024397666.1	unplaced-scaffold	11297			Contig1629
GCF_016920845.1	Primary Assembly	Un			JACDQR010001492.1	Chromosome		NW_024397668.1	unplaced-scaffold	12352			Contig1631
GCF_016920845.1	Primary Assembly	Un			JACDQR010001493.1	Chromosome		NW_024397669.1	unplaced-scaffold	12349			Contig1632
GCF_016920845.1	Primary Assembly	Un			JACDQR010001494.1	Chromosome		NW_024397670.1	unplaced-scaffold	12327			Contig1633
GCF_016920845.1	Primary Assembly	Un			JACDQR010001495.1	Chromosome		NW_024397671.1	unplaced-scaffold	12317			Contig1634
GCF_016920845.1	Primary Assembly	Un			JACDQR010001496.1	Chromosome		NW_024397672.1	unplaced-scaffold	12313			Contig1635
GCF_016920845.1	Primary Assembly	Un			JACDQR010001497.1	Chromosome		NW_024397673.1	unplaced-scaffold	12288			Contig1636
GCF_016920845.1	Primary Assembly	Un			JACDQR010001498.1	Chromosome		NW_024397674.1	unplaced-scaffold	2032			Contig1637
GCF_016920845.1	Primary Assembly	Un			JACDQR010001499.1	Chromosome		NW_024397675.1	unplaced-scaffold	9718			Contig1638
GCF_016920845.1	Primary Assembly	Un			JACDQR010001500.1	Chromosome		NW_024397676.1	unplaced-scaffold	9465			Contig1639
GCF_016920845.1	Primary Assembly	Un			JACDQR010001501.1	Chromosome		NW_024397678.1	unplaced-scaffold	2468			Contig1640
GCF_016920845.1	Primary Assembly	Un			JACDQR010001502.1	Chromosome		NW_024397679.1	unplaced-scaffold	12227			Contig1641
GCF_016920845.1	Primary Assembly	Un			JACDQR010001503.1	Chromosome		NW_024397680.1	unplaced-scaffold	12225			Contig1642
GCF_016920845.1	Primary Assembly	Un			JACDQR010001504.1	Chromosome		NW_024397681.1	unplaced-scaffold	12202			Contig1643
GCF_016920845.1	Primary Assembly	Un			JACDQR010001505.1	Chromosome		NW_024397682.1	unplaced-scaffold	10604			Contig1644
GCF_016920845.1	Primary Assembly	Un			JACDQR010001506.1	Chromosome		NW_024397683.1	unplaced-scaffold	8748			Contig1645
GCF_016920845.1	Primary Assembly	Un			JACDQR010001507.1	Chromosome		NW_024397684.1	unplaced-scaffold	1864			Contig1646
GCF_016920845.1	Primary Assembly	Un			JACDQR010001508.1	Chromosome		NW_024397685.1	unplaced-scaffold	877			Contig1647
GCF_016920845.1	Primary Assembly	Un			JACDQR010001509.1	Chromosome		NW_024397686.1	unplaced-scaffold	2505			Contig1648
GCF_016920845.1	Primary Assembly	Un			JACDQR010001510.1	Chromosome		NW_024397687.1	unplaced-scaffold	747			Contig1649
GCF_016920845.1	Primary Assembly	Un			JACDQR010001511.1	Chromosome		NW_024397689.1	unplaced-scaffold	3925			Contig1650
GCF_016920845.1	Primary Assembly	Un			JACDQR010001512.1	Chromosome		NW_024397690.1	unplaced-scaffold	688			Contig1651
GCF_016920845.1	Primary Assembly	Un			JACDQR010001513.1	Chromosome		NW_024397691.1	unplaced-scaffold	12151			Contig1652
GCF_016920845.1	Primary Assembly	Un			JACDQR010001514.1	Chromosome		NW_024397692.1	unplaced-scaffold	12133			Contig1655
GCF_016920845.1	Primary Assembly	Un			JACDQR010001515.1	Chromosome		NW_024397693.1	unplaced-scaffold	12116			Contig1656
GCF_016920845.1	Primary Assembly	Un			JACDQR010001516.1	Chromosome		NW_024397694.1	unplaced-scaffold	2077			Contig1657
GCF_016920845.1	Primary Assembly	Un			JACDQR010001517.1	Chromosome		NW_024397695.1	unplaced-scaffold	5401			Contig1658
GCF_016920845.1	Primary Assembly	Un			JACDQR010001518.1	Chromosome		NW_024397696.1	unplaced-scaffold	1376			Contig1659
GCF_016920845.1	Primary Assembly	Un			JACDQR010001519.1	Chromosome		NW_024397698.1	unplaced-scaffold	12070			Contig1660
GCF_016920845.1	Primary Assembly	Un			JACDQR010001520.1	Chromosome		NW_024397699.1	unplaced-scaffold	12065			Contig1661
GCF_016920845.1	Primary Assembly	Un			JACDQR010001521.1	Chromosome		NW_024397700.1	unplaced-scaffold	12052			Contig1662
GCF_016920845.1	Primary Assembly	Un			JACDQR010001522.1	Chromosome		NW_024397701.1	unplaced-scaffold	12028			Contig1663
GCF_016920845.1	Primary Assembly	Un			JACDQR010001523.1	Chromosome		NW_024397702.1	unplaced-scaffold	12019			Contig1664
GCF_016920845.1	Primary Assembly	Un			JACDQR010001524.1	Chromosome		NW_024397703.1	unplaced-scaffold	12017			Contig1665
GCF_016920845.1	Primary Assembly	Un			JACDQR010001525.1	Chromosome		NW_024397704.1	unplaced-scaffold	6195			Contig1667
GCF_016920845.1	Primary Assembly	Un			JACDQR010001526.1	Chromosome		NW_024397705.1	unplaced-scaffold	2395			Contig1668
GCF_016920845.1	Primary Assembly	Un			JACDQR010001527.1	Chromosome		NW_024397706.1	unplaced-scaffold	8282			Contig1669
GCF_016920845.1	Primary Assembly	Un			JACDQR010001528.1	Chromosome		NW_024397708.1	unplaced-scaffold	5925			Contig1671
GCF_016920845.1	Primary Assembly	Un			JACDQR010001529.1	Chromosome		NW_024397709.1	unplaced-scaffold	5264			Contig1672
GCF_016920845.1	Primary Assembly	Un			JACDQR010001530.1	Chromosome		NW_024397710.1	unplaced-scaffold	11921			Contig1673
GCF_016920845.1	Primary Assembly	Un			JACDQR010001531.1	Chromosome		NW_024397711.1	unplaced-scaffold	11763			Contig1674
GCF_016920845.1	Primary Assembly	Un			JACDQR010001532.1	Chromosome		NW_024397712.1	unplaced-scaffold	11722			Contig1675
GCF_016920845.1	Primary Assembly	Un			JACDQR010001533.1	Chromosome		NW_024397713.1	unplaced-scaffold	4887			Contig1676
GCF_016920845.1	Primary Assembly	Un			JACDQR010001534.1	Chromosome		NW_024397714.1	unplaced-scaffold	3568			Contig1677
GCF_016920845.1	Primary Assembly	Un			JACDQR010001535.1	Chromosome		NW_024397715.1	unplaced-scaffold	2202			Contig1678
GCF_016920845.1	Primary Assembly	Un			JACDQR010001536.1	Chromosome		NW_024397716.1	unplaced-scaffold	8590			Contig1679
GCF_016920845.1	Primary Assembly	Un			JACDQR010001537.1	Chromosome		NW_024397718.1	unplaced-scaffold	2261			Contig1681
GCF_016920845.1	Primary Assembly	Un			JACDQR010001538.1	Chromosome		NW_024397719.1	unplaced-scaffold	3000			Contig1682
GCF_016920845.1	Primary Assembly	Un			JACDQR010001539.1	Chromosome		NW_024397720.1	unplaced-scaffold	3413			Contig1683
GCF_016920845.1	Primary Assembly	Un			JACDQR010001540.1	Chromosome		NW_024397721.1	unplaced-scaffold	11683			Contig1684
GCF_016920845.1	Primary Assembly	Un			JACDQR010001541.1	Chromosome		NW_024397722.1	unplaced-scaffold	5100			Contig1685
GCF_016920845.1	Primary Assembly	Un			JACDQR010001542.1	Chromosome		NW_024397723.1	unplaced-scaffold	6389			Contig1686
GCF_016920845.1	Primary Assembly	Un			JACDQR010001543.1	Chromosome		NW_024397724.1	unplaced-scaffold	11660			Contig1687
GCF_016920845.1	Primary Assembly	Un			JACDQR010001544.1	Chromosome		NW_024397725.1	unplaced-scaffold	11639			Contig1688
GCF_016920845.1	Primary Assembly	Un			JACDQR010001545.1	Chromosome		NW_024397726.1	unplaced-scaffold	11631			Contig1689
GCF_016920845.1	Primary Assembly	Un			JACDQR010001546.1	Chromosome		NW_024397728.1	unplaced-scaffold	11629			Contig1690
GCF_016920845.1	Primary Assembly	Un			JACDQR010001547.1	Chromosome		NW_024397729.1	unplaced-scaffold	11626			Contig1691
GCF_016920845.1	Primary Assembly	Un			JACDQR010001548.1	Chromosome		NW_024397730.1	unplaced-scaffold	11623			Contig1692
GCF_016920845.1	Primary Assembly	Un			JACDQR010001549.1	Chromosome		NW_024397731.1	unplaced-scaffold	11622			Contig1693
GCF_016920845.1	Primary Assembly	Un			JACDQR010001550.1	Chromosome		NW_024397732.1	unplaced-scaffold	1393			Contig1694
GCF_016920845.1	Primary Assembly	Un			JACDQR010001551.1	Chromosome		NW_024397733.1	unplaced-scaffold	11578			Contig1695
GCF_016920845.1	Primary Assembly	Un			JACDQR010001552.1	Chromosome		NW_024397734.1	unplaced-scaffold	7993			Contig1696
GCF_016920845.1	Primary Assembly	Un			JACDQR010001553.1	Chromosome		NW_024397735.1	unplaced-scaffold	11549			Contig1698
GCF_016920845.1	Primary Assembly	Un			JACDQR010001554.1	Chromosome		NW_024397736.1	unplaced-scaffold	11505			Contig1699
GCF_016920845.1	Primary Assembly	Un			JACDQR010001555.1	Chromosome		NW_024397739.1	unplaced-scaffold	3030			Contig1700
GCF_016920845.1	Primary Assembly	Un			JACDQR010001556.1	Chromosome		NW_024397740.1	unplaced-scaffold	8287			Contig1701
GCF_016920845.1	Primary Assembly	Un			JACDQR010001557.1	Chromosome		NW_024397741.1	unplaced-scaffold	11446			Contig1702
GCF_016920845.1	Primary Assembly	Un			JACDQR010001558.1	Chromosome		NW_024397742.1	unplaced-scaffold	2189			Contig1703
GCF_016920845.1	Primary Assembly	Un			JACDQR010001559.1	Chromosome		NW_024397743.1	unplaced-scaffold	9095			Contig1704
GCF_016920845.1	Primary Assembly	Un			JACDQR010001560.1	Chromosome		NW_024397744.1	unplaced-scaffold	2513			Contig1705
GCF_016920845.1	Primary Assembly	Un			JACDQR010001561.1	Chromosome		NW_024397745.1	unplaced-scaffold	785			Contig1706
GCF_016920845.1	Primary Assembly	Un			JACDQR010001562.1	Chromosome		NW_024397746.1	unplaced-scaffold	4577			Contig1707
GCF_016920845.1	Primary Assembly	Un			JACDQR010001563.1	Chromosome		NW_024397747.1	unplaced-scaffold	11360			Contig1708
GCF_016920845.1	Primary Assembly	Un			JACDQR010001564.1	Chromosome		NW_024397748.1	unplaced-scaffold	11344			Contig1709
GCF_016920845.1	Primary Assembly	Un			JACDQR010001565.1	Chromosome		NW_024397750.1	unplaced-scaffold	11307			Contig1710
GCF_016920845.1	Primary Assembly	Un			JACDQR010001566.1	Chromosome		NW_024397751.1	unplaced-scaffold	11290			Contig1711
GCF_016920845.1	Primary Assembly	Un			JACDQR010001567.1	Chromosome		NW_024397752.1	unplaced-scaffold	11262			Contig1712
GCF_016920845.1	Primary Assembly	Un			JACDQR010001568.1	Chromosome		NW_024397753.1	unplaced-scaffold	9898			Contig1714
GCF_016920845.1	Primary Assembly	Un			JACDQR010001569.1	Chromosome		NW_024397754.1	unplaced-scaffold	6441			Contig1715
GCF_016920845.1	Primary Assembly	Un			JACDQR010001570.1	Chromosome		NW_024397755.1	unplaced-scaffold	11247			Contig1718
GCF_016920845.1	Primary Assembly	Un			JACDQR010001571.1	Chromosome		NW_024397756.1	unplaced-scaffold	7500			Contig1719
GCF_016920845.1	Primary Assembly	Un			JACDQR010001572.1	Chromosome		NW_024397758.1	unplaced-scaffold	2061			Contig1720
GCF_016920845.1	Primary Assembly	Un			JACDQR010001573.1	Chromosome		NW_024397759.1	unplaced-scaffold	1672			Contig1723
GCF_016920845.1	Primary Assembly	Un			JACDQR010001574.1	Chromosome		NW_024397760.1	unplaced-scaffold	1447			Contig1724
GCF_016920845.1	Primary Assembly	Un			JACDQR010001575.1	Chromosome		NW_024397761.1	unplaced-scaffold	11145			Contig1725
GCF_016920845.1	Primary Assembly	Un			JACDQR010001576.1	Chromosome		NW_024397762.1	unplaced-scaffold	2478			Contig1726
GCF_016920845.1	Primary Assembly	Un			JACDQR010001577.1	Chromosome		NW_024397763.1	unplaced-scaffold	8556			Contig1727
GCF_016920845.1	Primary Assembly	Un			JACDQR010001578.1	Chromosome		NW_024397764.1	unplaced-scaffold	6973			Contig1728
GCF_016920845.1	Primary Assembly	Un			JACDQR010001579.1	Chromosome		NW_024397766.1	unplaced-scaffold	5328			Contig1730
GCF_016920845.1	Primary Assembly	Un			JACDQR010001580.1	Chromosome		NW_024397767.1	unplaced-scaffold	7216			Contig1735
GCF_016920845.1	Primary Assembly	Un			JACDQR010001581.1	Chromosome		NW_024397768.1	unplaced-scaffold	1292			Contig1736
GCF_016920845.1	Primary Assembly	Un			JACDQR010001582.1	Chromosome		NW_024397769.1	unplaced-scaffold	11065			Contig1737
GCF_016920845.1	Primary Assembly	Un			JACDQR010001583.1	Chromosome		NW_024397770.1	unplaced-scaffold	11016			Contig1738
GCF_016920845.1	Primary Assembly	Un			JACDQR010001584.1	Chromosome		NW_024397771.1	unplaced-scaffold	11004			Contig1739
GCF_016920845.1	Primary Assembly	Un			JACDQR010001585.1	Chromosome		NW_024397773.1	unplaced-scaffold	11001			Contig1740
GCF_016920845.1	Primary Assembly	Un			JACDQR010001586.1	Chromosome		NW_024397774.1	unplaced-scaffold	10985			Contig1741
GCF_016920845.1	Primary Assembly	Un			JACDQR010001587.1	Chromosome		NW_024397775.1	unplaced-scaffold	10982			Contig1743
GCF_016920845.1	Primary Assembly	Un			JACDQR010001588.1	Chromosome		NW_024397776.1	unplaced-scaffold	10971			Contig1744
GCF_016920845.1	Primary Assembly	Un			JACDQR010001589.1	Chromosome		NW_024397777.1	unplaced-scaffold	7109			Contig1746
